data_version,Annotator,region,Site ID,Comments,File Name,Date,Start Time,End Time,Length,Clip Path,Reviewed,extra_tags,Bio,Bird,Anth,Geo,Sil,Auto,Airc,Mach,Flare,Mam,Bug,Wind,Rain,Water,Truck,Car,Prop,Helo,Jet,Corv,SongB,DGS,Grous,Crane,Loon,SeaB,Owl,Hum,Rapt,Woop,ShorB,Woof,Bear,Mous,Deer,Weas,Meow,Hare,Shrew,Mosq,Fly,Chewing,Burps,Vocal,Hoofclick
megan-collars_V2,N/A,collars,149_721,N/A,20210622_090015.flac,2021-06-22,09:30:20.000000,09:30:30.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_090015_30m_5s__30m_15s.flac,megan,"breathing, moving but hoofclicks not obvious",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
megan-collars_V2,N/A,collars,149_721,N/A,20210622_070005.flac,2021-06-22,07:10:57.000000,07:11:07.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_070005_10m_52s__11m_2s.flac,megan,"chewing, in a group",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
megan-collars_V2,N/A,collars,149_721,N/A,20210622_110025.flac,2021-06-22,11:43:27.000000,11:43:37.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_110025_43m_2s__43m_12s.flac,megan,breathing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
megan-collars_V2,N/A,collars,149_721,N/A,20210622_080010.flac,2021-06-22,08:28:38.000000,08:28:48.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_080010_28m_28s__28m_38s.flac,megan,"breathing, rustling",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
megan-collars_V2,N/A,collars,149_721,N/A,20210622_080010.flac,2021-06-22,08:24:34.000000,08:24:44.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_080010_24m_24s__24m_34s.flac,megan,breathing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
megan-collars_V2,N/A,collars,149_721,N/A,20210622_080010.flac,2021-06-22,08:57:54.000000,08:58:04.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_080010_57m_44s__57m_54s.flac,megan,"moving but hoofclicks not obvious, breathing",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
megan-collars_V2,N/A,collars,149_721,N/A,20210622_110025.flac,2021-06-22,11:07:30.000000,11:07:40.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_110025_7m_5s__7m_15s.flac,megan,moving but hoofclicks not obvious,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
megan-collars_V2,N/A,collars,149_721,N/A,20210622_090015.flac,2021-06-22,09:54:43.000000,09:54:53.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_090015_54m_28s__54m_38s.flac,megan,"breathing, moving but hoofclicks not obvious",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
megan-collars_V2,N/A,collars,149_721,N/A,20210622_070005.flac,2021-06-22,07:36:34.000000,07:36:44.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_070005_36m_29s__36m_39s.flac,megan,moving but hoofclicks unclear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
megan-collars_V2,N/A,collars,149_721,N/A,20210622_100020.flac,2021-06-22,10:23:14.000000,10:23:24.000000,00:00:10.000000,/scratch/enis/data/nna/labeling/samples/megan-collars_V2/audio_megan-collars_V2/collars/149_721/2021/20210622_100020_22m_54s__23m_4s.flac,megan,moving but hoofclicks unclear,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
